,covid volatility index,average monthly observations
Skill: Diagnostic Tools,0.6423556419043314,80.5625
Skill: Passive Exercise,0.6414438646281058,0.5
Skill: Palletizing,0.6413037044465706,1188.1041666666667
Skill: VA SAR/LAPP Designation,0.6386935465009522,9.583333333333334
Skill: Hot Pressing,0.6385165370919222,0.125
Skill: Mortgage Loan Origination,0.6371208519931586,48.35416666666666
Skill: Conventional Lending,0.6352931128267296,11.145833333333334
Skill: Meal Planning And Preparation,0.6345606371234461,514.625
Skill: Amazon Marketplace,0.6337708124791183,3.0
Skill: Azure Databricks,0.6332793224322641,17.791666666666668
Skill: Anesthesias,0.6331210410525322,192.97916666666663
Skill: Transportation Worker Identification Credential (TWIC) Card,0.6329494031414504,58.47916666666666
Skill: Health Data Specialists,0.6326701008312277,3.7083333333333335
Skill: Tape Measure,0.632460770182629,204.125
Skill: Vital Signs,0.6310912826309228,776.625
Skill: DevSecOps,0.6289218822574647,77.08333333333333
Skill: Dental Radiography,0.6269830186375193,39.895833333333336
Skill: Graphics Library,0.6257489992019146,0.2083333333333333
Skill: Wolof Languages,0.6210706660955866,0.125
Skill: Backing Maneuvers,0.6185842561230128,3.6666666666666665
Skill: Decorative Molding,0.6182856461790487,8.75
Skill: Mortgage Loan Closing,0.6169792114594604,21.875
Skill: Loan Processing,0.61629038812932,114.54166666666669
Skill: Blow Molding,0.6150272105822383,26.291666666666668
Skill: Low Level Laser Therapy,0.6149598270381005,13.375
Skill: Adapted Physical Education,0.6143284849895001,5.625
Skill: Retention Ratios,0.6138845827423245,2.0625
Skill: Deck Building,0.6123593100677155,4.75
Skill: Pest Control,0.6120140735864524,138.14583333333334
Skill: Social Media Management,0.6120099196744467,146.5
Skill: Hypertension,0.6100260291552928,9.020833333333334
Skill: Codeship,0.6099215560663332,0.7708333333333334
Skill: Data Streaming,0.608594931113483,7.604166666666667
Skill: Hand Hygiene,0.6074917401391655,24.33333333333333
Skill: Romanian Language,0.607163987296102,5.270833333333333
Skill: Immunotherapy,0.6065825820977075,9.375
Skill: Adrenal Glands,0.6063973493853367,1.9375
Skill: Transportation Safety,0.6035111104108293,16.791666666666668
Skill: Registered Respiratory Therapist,0.6027024890995658,60.16666666666666
Skill: Addiction Counseling,0.600889634707235,22.229166666666668
Skill: Electrical Sockets,0.600423349147367,22.52083333333333
Skill: Respiration,0.5995089845737115,64.14583333333333
Skill: Surgical Emergency,0.5995014687150565,2.458333333333333
Skill: Point-Of-Care Testing,0.5993617275947685,85.58333333333333
Skill: Staging Area,0.5977023634235489,134.10416666666666
Skill: Digital Customer Strategy,0.5963731794288224,3.2916666666666665
Skill: Disease Control,0.5958503406738783,17.5625
Skill: Gastrointestinal Bleeding,0.595760155029049,1.3958333333333333
Skill: Antibody Tests,0.595404705720394,1.9791666666666667
Skill: Mental Health Assessments,0.5952121612550452,34.145833333333336
Skill: Autoclaves,0.5944753874607305,45.083333333333336
Skill: Web Filtering,0.5943117656111475,10.0625
Skill: Stepper,0.5941961297908892,0.7916666666666666
Skill: Explosives Detection And Disposal,0.5937382561408489,5.3125
Skill: Infection Control Certification,0.5937043833811468,8.854166666666666
Skill: Punching (Cabling),0.5925266003575163,5.583333333333333
Skill: Change Data Capture (CDC),0.5919161421313536,8.25
Skill: VA Loans,0.5908007945987791,9.208333333333334
Skill: Commercial Driver's License (CDL),0.5881098116438755,2154.4375
Skill: Trauma Care,0.5879620949618739,323.1041666666667
Skill: Customer Proprietary Network Information,0.5865702305606479,1.1875
Skill: Functional Genomics,0.584662221054744,3.7291666666666665
Skill: Digital Signal 0,0.583359311678515,1.5416666666666667
Skill: Sparkr,0.5825801134838737,0.9583333333333334
Skill: Antibodies,0.5822015891819527,13.8125
Skill: Bedside Manner,0.5815257920890684,27.89583333333333
Skill: Truck Driving,0.5810558731203612,1324.8541666666667
Skill: Protected Health Information,0.5806292067541937,113.25
Skill: SoftDent,0.5795994300723346,1.5833333333333333
Skill: International Standard Text Codes,0.5789742773684735,0.5
Skill: PrimeRx (Pharmacy Management Software),0.5786087083960371,0.1875
Skill: Checkstyle,0.5786086622942738,1.0625
Skill: Emergency Lighting,0.5777414892123495,22.666666666666668
Skill: Pipe Installation,0.5774727798106523,4.5
Skill: Tanker Endorsement,0.5749808284187233,128.41666666666666
Skill: Virtual Private Cloud,0.574255148019232,3.0625
Skill: Azure Active Directory,0.5738142850361572,78.25
Skill: Data Encryption,0.5722211777908522,19.0625
Skill: Lead Poisoning,0.5719442419470913,0.9166666666666666
Skill: Qiskit,0.5717680348318146,1.4791666666666667
Skill: Heartworm,0.571386873501134,17.0625
Skill: Isolation Procedures,0.570963298300922,15.708333333333334
Skill: Medication Inventory,0.5703442961465723,39.72916666666666
Skill: Assembly Lines,0.5702351520101371,176.20833333333334
Skill: Housekeeping,0.5701567672069403,2766.5416666666665
Skill: MavensMate IDE,0.5697905745714533,0.2083333333333333
Skill: Tissue Handling,0.5685089390090273,1.0416666666666667
Skill: Primary Care,0.5679256389386971,392.9791666666667
Skill: Google Storage,0.5676820362372241,2.708333333333333
Skill: Oral And Maxillofacial Surgery,0.567080335843856,44.458333333333336
Skill: Lightning Web Components,0.566987393361649,10.854166666666666
Skill: Health Insurance Portability And Accountability Act (HIPAA) Compliance,0.5665720396039672,309.0208333333333
Skill: Pap Tests,0.5665529212715545,12.5625
Skill: Instructing,0.5662905804081164,193.97916666666663
Skill: EndNote,0.5660884347386628,1.5
Skill: Slovak Language,0.5656682279740661,0.4583333333333333
Skill: Desktop Underwriter,0.5651547517480715,6.166666666666667
Skill: Hair Care,0.5649489275776183,34.1875
Skill: Commercial Cleaning,0.563063052934447,61.60416666666666
Skill: Telecommuting,0.5630421620926602,120.625
Skill: Uniform Standards Of Professional Appraisal Practices,0.5627777140515566,4.604166666666667
Skill: Archival Research,0.5626337874883316,0.5208333333333334
Skill: Fund Disbursement,0.5623240153491513,10.020833333333334
Skill: Standard Operating Environments,0.5620990386840999,0.7291666666666666
Skill: Light Rail Transit Systems,0.5620476679752575,0.3333333333333333
Skill: Blister Packs,0.5616601911130911,5.541666666666667
Skill: Cloud Security Architecture,0.5616265813923754,111.72916666666669
Skill: Waste Removal,0.5612784503436294,24.666666666666668
Skill: Health Insurance Portability And Accountability Act (HIPAA) Associate,0.56071736172218,0.3125
Skill: McAfee VirusScan,0.5603591594265351,2.375
Skill: Hammers,0.5601540702474443,76.27083333333333
Skill: Closing Argument,0.5596433217706769,2.3125
Skill: Finished Good,0.5589047814650488,380.1666666666667
Skill: Portable Appliance Testing,0.5580568165394377,2.145833333333333
Skill: Merchant Services,0.5579717852063641,39.395833333333336
Skill: Applied Economics,0.5579166338477465,3.1666666666666665
Skill: Trusted Internet Connections,0.5574997238176872,0.1875
Skill: ITIL Practitioner Certification,0.5562370454277351,2.3541666666666665
Skill: Construction Estimating Software,0.5553289708379301,2.8125
Skill: Transaxle,0.5551552567773516,1.0208333333333333
Skill: Urinalysis,0.5550812110719991,27.291666666666668
Skill: User Controls,0.5549452034434498,2.1875
Skill: Affinity Chromatography,0.5538161526838887,0.5833333333333334
Skill: Progressive Care Certified Nurse,0.5530100251304317,2.4166666666666665
Skill: News Reporting,0.5528740543810903,4.416666666666667
Skill: Stenotype,0.5525188235425909,2.5625
Skill: Personal Care,0.5524481003301134,648.9791666666666
Skill: Underwriting,0.5523314129307442,880.1666666666666
Skill: Pipeline Survey,0.5522228569706206,0.125
Skill: Ammonia,0.5519349154910477,19.666666666666668
Skill: Certified Computer Forensics Examiner,0.5510269658027729,0.2291666666666666
Skill: Fact-Finding,0.5509427851945425,26.104166666666668
Skill: Propane,0.55034008948542,46.0625
Skill: Order Fulfillment,0.5492931930222636,480.1666666666667
Skill: Social Progress,0.5489733272873902,1.5416666666666667
Skill: Conventional PCI,0.54882797611381,0.5625
Skill: Cabinetry,0.5485814180453458,56.375
Skill: Online Engineering,0.5476935285766531,3.458333333333333
Skill: Mapbox,0.5473559498656563,2.0416666666666665
Skill: Andrology,0.5469372421296038,1.7291666666666667
Skill: Certified Veterinary Technician,0.5460264206833289,33.395833333333336
Skill: Account Aggregation,0.5457308351346823,5.395833333333333
Skill: Blood Cell,0.5453279200779974,7.645833333333333
Skill: Energy Star,0.5446403922034208,0.0625
Skill: Cardiac Devices,0.5444645726396045,2.75
Skill: Dental Histories,0.5442624573305194,9.270833333333334
Skill: Dry Van Truck Operation,0.5435225395204972,230.8125
Skill: Power Tool Operation,0.543438163986439,675.3333333333334
Skill: Veterinary Medicine,0.5434262984985756,72.95833333333333
Skill: Injection Molding Machines,0.5431022466615042,35.083333333333336
Skill: Real Estate Closing,0.5427313809493328,14.479166666666666
Skill: Artificial Nails,0.5422939744406363,1.8541666666666667
Skill: Veterinary Public Health,0.5418822049917754,0.75
Skill: Appliance Repair,0.5418603265194012,83.0625
Skill: Production Line,0.5414928002344518,390.9791666666667
Skill: IBM Services,0.541121759812417,5.208333333333333
Skill: Insulation Installation,0.5410696376412715,5.020833333333333
Skill: Duct Cleaning,0.5403501266602737,8.041666666666666
Skill: IBM Integration Designer,0.5401890411022359,0.375
Skill: HVAC Rooftop Units,0.5398672843059218,9.041666666666666
Skill: Certified Occupancy Specialist (COS),0.5396302744259527,10.8125
Skill: Credit Institution,0.5393618277756063,0.4375
Skill: IPSec Tunnels,0.5393228186263341,2.7916666666666665
Skill: IBM QRadar (SIEM Software),0.5388448864913941,10.791666666666666
Skill: Chemical Reactors,0.5378720517148354,2.020833333333333
Skill: CPanel,0.5376149278747825,0.9791666666666666
Skill: Visual Perception,0.5375099164187972,12.666666666666666
Skill: Ethical Codes,0.5374382258785264,9.833333333333334
Skill: Circular Saw,0.5372435821690433,5.416666666666667
Skill: Montessori Education,0.5367385269488826,8.083333333333334
Skill: Access Control Facility,0.5358296797315891,1.2916666666666667
Skill: Apparel Engineering,0.5353380225543776,0.1458333333333333
Skill: Mobility Assistance,0.5352114591502625,33.895833333333336
Skill: Shopify App,0.5345378893504132,0.2916666666666667
Skill: Titer,0.5345150721041224,4.666666666666667
Skill: Refrigerant,0.5341755625071947,36.72916666666666
Skill: CDL Class C License,0.5336324691692541,43.29166666666666
Skill: Okta,0.533252863308867,45.875
Skill: Native Code,0.5331693130232853,1.2083333333333333
Skill: Relay Logic,0.5323564346028904,17.979166666666668
Skill: Fuel Cells,0.5321803169083007,1.625
Skill: Uncertainty Modeling,0.5320679488782096,0.0833333333333333
Skill: Hoppers,0.5317336875190606,78.3125
Skill: Ukrainian Language,0.5316759738092014,21.33333333333333
Skill: Java Cryptography Extension,0.5309115327244116,0.125
Skill: Medical Ventilators,0.5307012181647177,67.41666666666667
Skill: Flooring,0.5304567651337142,244.83333333333331
Skill: Cryosurgery,0.5303264564510644,0.3958333333333333
Skill: Immunology,0.5296870809367487,105.35416666666669
Skill: Orthodontics,0.529666194744055,57.85416666666666
Skill: Psychology,0.5295083790042681,1228.9166666666667
Skill: Statistical Classification,0.5292548725380188,0.3958333333333333
Skill: Electrical Plans Examination,0.5292176311391755,0.1041666666666666
Skill: Advanced Cardiovascular Life Support (ACLS) Certification,0.5284964206851644,864.6041666666666
Skill: Bus Rapid Transit,0.5281584604285238,0.4375
Skill: Nucleic Acids,0.5276817838385355,8.208333333333334
Skill: Magnetic Particle Inspections,0.527311430962823,4.416666666666667
Skill: Rackspace Cloud,0.5268867398518741,2.0625
Skill: Health Risk Assessments,0.5267805445795573,104.20833333333331
Skill: Patient Transport,0.5266882009990452,193.4375
Skill: Electrical Safety,0.5263023951889769,45.708333333333336
Skill: Medication Administration,0.5256828326778935,705.875
Skill: Computer Room Air Handler (CRAH) Units,0.5254064713026703,3.9583333333333335
Skill: Emergency Veterinary Medicine,0.5253103495635022,9.520833333333334
Skill: Nursing,0.5232878866351314,4461.354166666667
Skill: Loan Origination,0.5229644065370805,161.3125
Skill: Medical Practices And Procedures,0.5224957384532959,103.9375
Skill: Nursing Diagnosis,0.5224022038739348,88.375
Skill: Vacuum Systems,0.5219369578818223,28.541666666666668
Skill: Separately Managed Accounts,0.521852360503748,10.041666666666666
Skill: Ceramic Coating,0.5217013192266242,0.8958333333333334
Skill: Sap Business Connector,0.5215866301158234,3.2291666666666665
Skill: Patient Transfer Equipment,0.5208079056226448,68.375
Skill: SQL Server Master Data Services,0.5205521513555362,0.7708333333333334
Skill: Ribonucleic Acid Sequencing,0.5204704797701146,35.229166666666664
Skill: System Procedures,0.5204653170939972,12.229166666666666
Skill: Cognitive Load Theory,0.5202864992416854,0.375
Skill: Career Readiness Certificate,0.5184152622498801,0.9166666666666666
Skill: EPI Info,0.5176177946309979,0.2708333333333333
Skill: Heavy Equipment,0.517367715132266,289.7916666666667
Skill: FedRAMP,0.5173608158497207,19.041666666666668
Skill: Azure Data Lake,0.5173511821465993,26.354166666666668
Skill: Job Control Language (JCL),0.5171957352668033,35.875
Skill: Liens,0.5169561224513293,45.5
Skill: Clinical Assay,0.5166129653230502,0.9166666666666666
Skill: Seesaw (Educational Software),0.5161683707306679,0.9166666666666666
Skill: Millwork,0.5161250823667191,96.0625
Skill: Painting,0.5159931096241613,545.6041666666666
Skill: Management Data Input/Output,0.5159164550699941,0.1458333333333333
Skill: Agrochemicals,0.5157636375283763,2.6875
Skill: Loan Documentation,0.5153605958616163,128.0
Skill: Carpet Maintenance,0.5146741785625564,2.375
Skill: Yearbooks,0.514118567222172,3.875
Skill: Total Fitness,0.5139165518377153,0.5416666666666666
Skill: Asepsis,0.513870303633728,149.04166666666666
Skill: Amazon Inspector,0.5136110230262407,1.1875
Skill: Adolescent Psychology,0.5125920296650465,10.666666666666666
Skill: Pandemic Readiness,0.5125826247445429,0.7708333333333334
Skill: Architectural Photography,0.5124948568820906,0.5833333333333334
Skill: Farming,0.512221868763717,12.791666666666666
Skill: Subprime Lending,0.5119268033367353,0.9375
Skill: Framing And Trim,0.51177037373123,3.0
Skill: Microsoft Hardware,0.511712180986352,3.5416666666666665
Skill: Transmission Control Module,0.5115099273366612,1.0
Skill: Electrical Documentation,0.5105044961492475,0.875
Skill: Backward Design,0.5099660094082006,1.375
Skill: Quantum Computing,0.509719706914752,5.625
Skill: Molecular Cloning,0.5095684447638409,5.729166666666667
Skill: Polarimeter,0.5092056796755873,0.75
Skill: Emergency Support,0.5090389124467112,12.25
Skill: PRINCE2  (PRojects IN Controlled Environments 2),0.5088258333710087,18.75
Skill: Licensed Clinical Alcohol And Drug Counselor,0.5087586860277027,0.8333333333333334
Skill: Viral Diseases,0.5083890396749318,0.0833333333333333
Skill: Plowing,0.5083635753235022,31.291666666666668
Skill: Layer 2 Tunneling Protocols,0.5079972534144772,1.2708333333333333
Skill: Nuclear Magnetic Resonance Spectroscopy,0.5079812182843042,0.7916666666666666
Skill: Chemical Thermodynamics,0.5079655776938894,0.2083333333333333
Skill: Smart Speakers,0.5071774825430471,1.5
Skill: Data Profiling,0.5070099056762023,55.645833333333336
Skill: Real Estate Settlement Procedures Act,0.5068962283767808,31.791666666666668
Skill: Electronics Manufacturing Services,0.5068697824723577,1.1666666666666667
Skill: Endometrial Biopsies,0.5060984802564631,2.375
Skill: Industrial Automation,0.5052442349319353,45.66666666666666
Skill: Instructional Manuals,0.5049602144638281,3.333333333333333
Skill: Peripheral IV,0.5048845818991611,1.3333333333333333
Skill: Music Therapist - Board Certified (MT-BC),0.5048533942318876,1.7083333333333333
Skill: Substance Dependence,0.5042537319265475,43.22916666666666
Skill: Nebulizer,0.5030764670415362,44.520833333333336
Skill: Rate Limiting,0.5019768086525037,1.9166666666666667
Skill: Assisted Feeding,0.5013387434890904,27.625
Skill: Small Mammals,0.501202066378935,2.145833333333333
Skill: Cisco Firewall Services Module (FWSM),0.5009154412243499,1.2083333333333333
Skill: Silicon On Insulator,0.5004120516414712,2.520833333333333
Skill: Medical Privacy,0.5000435001659811,390.7083333333333
Skill: Web 2.0,0.49992749082576937,8.0625
Skill: MPLAB IDE,0.49973046779513386,0.6666666666666666
Skill: Security Requirements Analysis,0.49928653513658483,181.5
Skill: Net Interest Margin,0.49926068623970465,0.4166666666666667
Skill: WorldCat,0.49916052133817834,0.7291666666666666
Skill: Dementia Care,0.49914946125459647,90.64583333333331
Skill: Waste Sorting,0.4990691429004482,0.9791666666666666
Skill: Google Associate Cloud Engineer,0.49860903262191697,1.1041666666666667
Skill: Lymphatic Systems,0.49828064076913325,3.5
Skill: Proximity Sensor,0.4982551882434564,18.666666666666668
Skill: Azure Blob Storage,0.4981605683537631,6.125
Skill: Quilting,0.4980611205870398,1.2083333333333333
Skill: Fire-Control Systems,0.49796536323401613,32.5
Skill: Intellectual Disabilities,0.49795746694519394,32.4375
Skill: TIBCO iProcess Engine,0.49766300127898183,0.375
Skill: IBM Blade,0.49725930700422116,0.5208333333333334
Skill: Normal Distribution,0.49703610912259855,0.7916666666666666
Skill: Structural Steel Welding,0.4967427725604888,0.5625
Skill: Glass Installation,0.4965446595340186,7.479166666666667
Skill: Pharmaceutical Formulation,0.4964085971647184,3.8333333333333335
Skill: Rsync,0.4960437935537761,0.5625
Skill: Health Screenings,0.49570976259568383,9.0625
Skill: Derivative Valuation,0.49570491034475844,1.8125
Skill: Certified Teststand Developer,0.49564024265948003,0.0625
Skill: Appraisals,0.4953574795201008,76.5625
Skill: Citation Formatting,0.49528887468677824,0.4375
Skill: Nasopharyngeal Swabs,0.49506841854558886,17.375
Skill: Microsoft Platform Builder,0.4949545234237506,1.25
Skill: Surgical Procedures,0.49493645286330246,199.75
Skill: SIP Trunking,0.49492345064336407,8.0
Skill: Job Safety Analysis,0.4949156792201853,47.54166666666666
Skill: Deworming,0.49436309937302314,0.9166666666666666
Skill: Electronic Symbols,0.49369132607685806,2.5416666666666665
Skill: Instruction Scheduling,0.49367843557884417,0.5833333333333334
Skill: InfluxDB,0.49266184831887533,6.416666666666667
Skill: Polishing,0.4925896855126739,108.0625
Skill: Differential Equations,0.4921313756286416,2.458333333333333
Skill: Investment Trust,0.49181604361737347,6.333333333333333
Skill: Quick EMUlator (QEMU),0.49129971506423875,0.8125
Skill: Semantic UI,0.4912259695547808,0.7708333333333334
Skill: Tanker Truck Operation,0.49050508257922026,118.66666666666669
Skill: Crop Management,0.49043727924447217,0.8333333333333334
Skill: Nanoscopic Scale,0.49038234062391906,2.375
Skill: Budget Support,0.49005784936397623,19.20833333333333
Skill: Drywall (Installation And Repair),0.4899593781317881,182.1875
Skill: Molecular Diagnostics,0.4899394902024034,15.208333333333334
Skill: Hardware Platform Interface,0.48971418180856086,4.708333333333333
Skill: Splunk Enterprise Security,0.48943877572749506,3.395833333333333
Skill: Business Studies,0.4892053534071237,6.020833333333333
Skill: Critical Reflection,0.4890988013677874,0.6041666666666666
Skill: Care Management Software,0.4886325127911424,0.6875
Skill: Addiction Medicine,0.48851604428374007,10.041666666666666
Skill: Certified Computer Programmer,0.48850547032093344,1.7708333333333333
Skill: Active Noise Controls,0.48847350334370115,0.6458333333333334
Skill: Mail Forwarding,0.48827209610462274,0.6458333333333334
Skill: Remote Operation,0.4882275610000536,0.9166666666666666
Skill: Laser Beam Welding,0.48812569461279953,2.145833333333333
Skill: Mortgage Loans,0.48794408152901453,664.4166666666666
Skill: Telephone Numbering Plans,0.4878792638590892,1.1041666666666667
Skill: Photochemistry,0.48769898117418353,0.6458333333333334
Skill: Accredited Investing,0.4874015492406282,0.2291666666666666
Skill: Desktop Management Interface,0.4871977783647736,6.895833333333333
Skill: Oncology Nursing,0.487140196025419,20.02083333333333
Skill: Insurance Sales,0.48703527229504706,242.41666666666663
Skill: Vernier Calipers,0.4870073085053937,10.75
Skill: Residential Plumbing,0.4869259981937083,4.8125
Skill: Solar Roofs,0.4869188604671216,0.5416666666666666
Skill: Colitis,0.48684392590509395,2.875
Skill: Rhel7,0.486673144605986,2.458333333333333
Skill: CaseWare Software Applications,0.48646253307572573,6.395833333333333
Skill: Instructional Theories,0.4861407064005883,2.5
Skill: Socialization,0.48579280852352175,97.1875
Skill: Flood Insurance,0.48518184398582126,6.916666666666667
Skill: MRNAs,0.48515198858701697,2.395833333333333
Skill: Pre-Trip And Post-Trip Vehicle Inspections,0.485089334289506,189.47916666666663
Skill: Agilent ChemStation,0.4848695336570167,0.2708333333333333
Skill: HVAC Estimating,0.48461547807899663,1.0625
Skill: Military Security,0.4844378683959144,3.333333333333333
Skill: Public Health Advisor,0.4843912715766213,0.5625
Skill: Refractive Index,0.4841342697220951,2.083333333333333
Skill: Flatbed Truck Operation,0.48395004702405287,385.3541666666667
Skill: Azure Data Factory,0.4839081424072512,55.333333333333336
Skill: Wicklander-Zulawski Certification,0.4838984491484989,4.770833333333333
Skill: Customer Intelligence,0.4832060980121561,15.8125
Skill: Plastics Extrusion,0.4829851460226364,9.666666666666666
Skill: Personal Information Protection And Electronic Documents Act,0.4826711754075176,2.4375
Skill: Patient Evaluation,0.48234973438223205,153.3125
Skill: Cremation,0.48215094618808313,7.354166666666667
Skill: DAWIA Level 2,0.48207436547460547,1.0833333333333333
Skill: Animal Handling,0.4818704166890712,29.229166666666668
Skill: spatialNET,0.4816719256742991,0.4375
Skill: Internet Radio,0.4815099391207198,0.4375
Skill: Clinical Laboratory Science,0.48146030933831163,58.04166666666666
Skill: User Interface Architecture,0.4811453953442868,4.583333333333333
Skill: Skin Care,0.4811309411845578,136.4375
Skill: Tool Management,0.480838258762167,7.5
Skill: National Apprenticeship Certificate,0.48027697052149926,1.5416666666666667
Skill: Over-The-Road Driving,0.48025878355708435,182.54166666666663
Skill: Bank Auditing,0.4800152528594911,2.7291666666666665
Skill: Legal Transcription,0.479912026095464,11.6875
Skill: Microsoft Azure Certification,0.47980967092412163,22.729166666666668
Skill: Miter Saw,0.479718276557693,5.979166666666667
Skill: Handguns,0.4796981930229144,8.375
Skill: Message Broker,0.4796465046137037,9.166666666666666
Skill: Bioethics,0.4795727485243237,3.4791666666666665
Skill: Molecular Beacon,0.47931444137491275,0.0625
Skill: IEEE 802,0.4793027680981554,0.3125
Skill: IBM Blueworks Live,0.47915185902895463,1.5
Skill: Intensive Care Unit,0.479066638716726,664.7916666666666
Skill: Microsoft Office Accounting,0.4781496801510527,18.95833333333333
Skill: PEST Analysis,0.47801113052898747,0.1041666666666666
Skill: Parkinson's Disease,0.47798512718397734,17.375
Skill: Novel Materials,0.4778153905558259,1.3958333333333333
Skill: Mine Management,0.47773911248757106,0.4375
Skill: Organic Chemistry,0.47741917395291217,17.9375
Skill: Periodontology,0.4773070846136253,30.6875
Skill: Integration Platform As A Service (IPaaS),0.4772639961469972,10.041666666666666
Skill: Certified Managed Care Nurse,0.47720878051830623,0.2708333333333333
Skill: Dell Boomi (Integration Platform),0.4771107537154894,20.541666666666668
Skill: Monitoring Road Conditions,0.4769153375953497,1.7083333333333333
Skill: Hysteroscopy,0.47677435154569714,1.6875
Skill: Security Onion (Intrusion Detection System),0.4764433242011636,0.8125
Skill: Clinical Medicine,0.4764321710126147,10.979166666666666
Skill: Bourne Shell,0.47606344131762623,1.6458333333333333
Skill: Registration Authority,0.4758760542737833,0.25
Skill: Amazon Route 53,0.47575994165066743,0.7708333333333334
Skill: DOCSIS (Data Over Cable Service Interface Specification),0.47544160278683956,1.8125
Skill: Conveyor Systems,0.4754268212086098,137.875
Skill: Product Description,0.4751017768052903,22.64583333333333
Skill: Diabetic Retinopathy,0.474778400077785,2.583333333333333
Skill: Property Maintenance,0.47444708225422055,61.22916666666666
Skill: Hospital-Acquired Infection,0.4744061600664888,2.875
Skill: Certified Surgical Technologist,0.4743340534736845,42.833333333333336
Skill: Investment Company Act Of 1940,0.47412285221836586,7.625
Skill: Icinga,0.47406025545826314,3.5625
Skill: Digital Sketching,0.4739665715690634,1.1666666666666667
Skill: Order Picking,0.473575828788643,449.2083333333333
Skill: Molecular Biology,0.47347233234224106,108.58333333333331
Skill: Fingerstick,0.4729243963823978,28.291666666666668
Skill: Surgical Services,0.4727941561624573,78.1875
Skill: Biochemical Assays,0.4725615396584576,85.20833333333333
Skill: Spay/Neuter Procedures,0.47240584761244514,6.645833333333333
Skill: Numeracy,0.47228882856591836,25.70833333333333
Skill: Net Asset Value,0.4721911896568024,4.9375
Skill: Western Blot,0.47209841488471993,22.875
Skill: FCC Electronic Document Management System,0.47201596444492766,2.4375
Skill: Aseptic Processing,0.47198085382430327,37.04166666666666
Skill: Disaster Recovery Solution,0.4710836641854662,18.27083333333333
Skill: Partnership Accounting,0.4707561072458833,5.979166666666667
Skill: Strategic Technology Planning,0.470670638864667,4.020833333333333
Skill: Azure Data Explorer (Kusto),0.4706025044568811,0.9166666666666666
Skill: OpenFOAM,0.4704326033735716,0.6458333333333334
Skill: Epidemiology,0.4703872859985608,85.6875
Skill: Serverless Security,0.4703599313799195,0.125
Skill: IBM Websphere ESB,0.46992555029080646,0.75
Skill: DeltaV Distributed Control System,0.46982026515899966,5.5625
Skill: Amharic Language,0.4698139534824405,2.2291666666666665
Skill: Instagram Ads,0.46978853904472084,2.75
Skill: Artificial Intelligence Development,0.4696538633485499,0.9166666666666666
